DESCRIPTION,procedure_count,average_base_cost,median_base_cost,total_base_cost
Measurement of respiratory function (procedure),170,351.88823529411764,356.0,59821
Medical induction of labor,20,3671.95,3553.0,73439
Medication Reconciliation (procedure),2284,509.12434325744306,496.0,1162840
Mental health screening (procedure),1,29.0,29.0,29
Methotrexate injection into tubal pregnancy,1,2624.0,2624.0,2624
Microbial culture (procedure),1,431.0,431.0,431
Monitoring of patient (regime/therapy),29,431.0,431.0,12499
Movement therapy (regime/therapy),890,431.0,431.0,383590
Nasal sinus endoscopy (procedure),1,6124.0,6124.0,6124
Oxygen administration by mask (procedure),240,431.0,431.0,103440
Partial resection of colon,7,25229.285714285714,23031.0,176605
Patient discharge (procedure),50,431.0,431.0,21550
Pelvis X-ray,14,431.0,431.0,6034
Percutaneous coronary intervention,9,19728.0,17748.0,177552
Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance,57,20228.035087719298,19073.0,1152998
Peripheral blood smear interpretation,53,431.0,431.0,22843
Physical exam following abortion,32,431.0,431.0,13792
Physical examination,39,431.0,431.0,16809
Physical examination following birth,119,431.0,431.0,51289
Physical examination of mother,118,431.0,431.0,50858
Placing subject in prone position (procedure),240,431.0,431.0,103440
Plain chest X-ray (procedure),78,7751.179487179487,7761.5,604592
Pregnancy termination care,32,640.96875,649.0,20511
Premature birth of newborn,4,431.0,431.0,1724
Prostatectomy,6,6808.666666666667,6275.5,40852
Psychosocial care (regime/therapy),33,431.0,431.0,14223
Pulmonary rehabilitation (regime/therapy),171,1909.625730994152,1908.0,326546
Rectal polypectomy,61,10231.557377049181,9961.0,624125
Referral to home health care service (procedure),33,431.0,431.0,14223
Removal of intrauterine device,38,9498.605263157895,8940.5,360947
Removal of subcutaneous contraceptive,39,9414.410256410256,9120.0,367162
Renal dialysis (procedure),2746,1004.0863073561544,978.0,2757221
Replacement of contraceptive intrauterine device,61,8385.803278688525,8191.0,511534
Resuscitation using intravenous fluid (procedure),8,431.0,431.0,3448
Review of systems (procedure),53,64.66037735849056,65.0,3427
RhD passive immunization,36,2571.4166666666665,2546.0,92571
Rubella screening,118,2044.457627118644,2045.5,241246
Screening for chromosomal aneuploidy in prenatal amniotic fluid,121,2006.9504132231405,1950.0,242841
Screening for domestic abuse (procedure),1432,431.0,431.0,617192
Screening for drug abuse (procedure),1484,431.0,431.0,639604
Screening for occult blood in feces (procedure),49,6320.714285714285,6297.0,309715
Screening mammography (procedure),5,113.6,99.0,568
Sentinel lymph node biopsy (procedure),4,10577.25,10461.0,42309
Skin test for tuberculosis,118,1961.1525423728813,1894.0,231416
Spirometry (procedure),209,7792.7655502392345,7775.0,1628688
Spontaneous breech delivery,1,4948.0,4948.0,4948
Sputum examination (procedure),71,6429.281690140845,6393.0,456479
Sputum microscopy (procedure),1,6963.0,6963.0,6963
Standard pregnancy test,184,5190.896739130435,5004.5,955125
Streptococcus pneumoniae group B antigen test,112,2014.4285714285713,1955.0,225616
Subcutaneous immunotherapy,54,11835.5,11373.5,639117
Suicide risk assessment (procedure),2,9.0,9.0,18
Surgical manipulation of joint of knee,12,16320.083333333334,16759.0,195841
Suture open wound,103,9287.368932038835,8991.0,956599
Syphilis infection test,118,1954.1694915254238,1928.5,230592
Teleradiotherapy procedure (procedure),170,997.4529411764706,1030.0,169567
Thoracentesis (procedure),1,19622.0,19622.0,19622
Throat culture (procedure),115,1914.2695652173913,1850.0,220141
Transfer to stepdown unit (procedure),5,431.0,431.0,2155
Ultrasonography of abdomen  right upper quadrant and epigastrium,2,431.0,431.0,862
Ultrasonography of bilateral breasts (procedure),4,1235.25,1350.5,4941
Ultrasound scan for fetal viability,184,9205.565217391304,8879.5,1693824
Upper arm X-ray,52,431.0,431.0,22412
Urine culture,118,2051.2457627118642,2017.5,242047
Urine protein test,118,2003.542372881356,1913.0,236418
Urine screening for glucose,119,2107.9411764705883,1998.0,250845
Urine screening test for diabetes,118,2022.3559322033898,1956.0,238638
Vaccination for diphtheria  pertussis  and tetanus,119,2620.1512605042017,2494.0,311798
Vasectomy,5,12106.2,11304.0,60531
X-ray or wrist,25,431.0,431.0,10775
